"Province","Milei_Votes","Milei_Pct","Massa_Votes","Massa_Pct","Margin_Votes","Margin_Pct","Voter_Turnout_Votes","Voter_Turnout_Pct"
"Buenos Aires",4801185,49.24,4949734,50.76,148549,1.52,10073791,76.78
"Buenos Aires City",1038310,57.25,775356,42.75,262954,14.5,1905625,75.42
"Catamarca",125325,52.81,111994,47.19,13331,5.62,243249,71.4
"Chaco",357106,49.81,359789,50.19,2683,0.37,730264,73.1
"Chubut",197835,59.07,137057,40.93,60778,18.15,350457,73.85
"Córdoba",1639102,74.05,574313,25.95,1064789,48.11,2298396,75.09
"Corrientes",366228,53.16,322694,46.84,43534,6.32,705589,75.85
"Entre Ríos",529318,61.47,331763,38.53,197555,22.94,889779,77.76
"Formosa",154306,43.27,202288,56.73,47982,13.46,362983,75.23
"Jujuy",258754,58.14,186315,41.86,72439,16.28,456914,77.32
"La Pampa",126794,57.28,94546,42.72,32248,14.57,229023,76.33
"La Rioja",126357,53.73,108817,46.27,17540,7.46,240164,78.89
"Mendoza",784109,71.17,317656,28.83,466453,42.34,1143401,76.49
"Misiones",405460,56.72,309355,43.28,96105,13.44,729704,73.74
"Neuquén",254613,60.43,166700,39.57,87913,20.87,440354,79.48
"Río Negro",236796,54.22,199969,45.78,36827,8.43,454473,76.26
"Salta",461685,57.67,338925,42.33,122760,15.33,819282,75.04
"San Juan",277621,60.71,179706,39.29,97915,21.41,470354,77.43
"San Luis",214938,67.98,101232,32.02,113706,35.96,326763,77.61
"Santa Cruz",104531,58,75706,42,28825,15.99,186251,70.07
"Santa Fe",1282012,62.83,758396,37.17,523616,25.66,2120545,74.96
"Santiago del Estero",198805,31.49,432433,68.51,233628,37.01,640581,78.68
"Tierra del Fuego",55975,53.32,48998,46.68,6977,6.65,109609,74.07
"Tucumán",557395,51.98,514978,48.02,42417,3.96,1094049,82.91
